,sku,Total-Quantity-Sold,Total-Product-Revenue,Total-Selling-Fee,Total-Fba-Fees,Total-Landing-Costs,Total-Product-Profit,Return on Sales,Profit Per Quantity Sold
108,HOLL-14603(1),2.0,51.98,7.8,6.38,26.66,11.139999999999993,5.569999999999997,5.569999999999997
109,KEL-GEL15GM,404.0,8536.179999999978,1279.9700000000012,1328.6300000000058,6569.040000000032,-641.460000000061,-1.5877722772278737,-1.5877722772278737
110,KEL-GEL60GM,126.0,10355.42,1553.4300000000003,506.2899999999998,6453.720000000006,1841.979999999994,14.618888888888842,14.618888888888842
111,MCR-1577,52.0,2333.760000000003,443.55999999999943,181.45999999999992,1367.5999999999988,341.1400000000049,6.560384615384709,6.560384615384709
112,MDL-MSC092534(X3),81.0,1599.1200000000001,191.81999999999988,404.6599999999996,821.3399999999992,181.30000000000132,2.238271604938288,2.238271604938288
113,MDL-MSC092625H,47.0,314.0400000000003,37.75000000000003,95.90999999999995,130.66000000000003,49.72000000000031,1.0578723404255386,1.0578723404255386
114,MDL-MSC092915H(X3),73.0,702.9899999999998,84.67999999999986,138.80999999999995,310.97999999999973,168.5200000000002,2.308493150684934,2.308493150684934
115,MDL-MSC094109H(X3),16.0,392.7200000000001,58.889999999999986,92.12,177.59999999999994,64.11000000000018,4.0068750000000115,4.0068750000000115
116,MDL-MSC094308,49.0,550.8200000000003,66.11,127.35999999999987,199.92000000000013,157.4300000000003,3.212857142857149,3.212857142857149
117,MDL-MSC094420,346.0,8120.020000000022,974.3399999999972,1868.4499999999973,3698.740000000015,1578.4900000000125,4.562109826589632,4.562109826589632
118,MDL-MSC094420(X2),18.0,900.0200000000001,108.02,108.35999999999996,384.84,298.8000000000002,16.60000000000001,16.60000000000001
119,MDL-MSC094424 (3),1.0,20.87,2.5,4.76,9.54,4.070000000000004,4.070000000000004,4.070000000000004
120,MDL-MSC094424(X2),34.0,318.72999999999996,25.419999999999998,117.51000000000002,216.24000000000018,-40.440000000000225,-1.189411764705889,-1.189411764705889
121,MDL-MSC094424(X3),124.0,2725.520000000002,327.35999999999905,618.7599999999992,1182.959999999998,596.4400000000055,4.810000000000044,4.810000000000044
122,MDL-MSC094514(X12),6.0,352.15,42.26,40.68,230.4,38.809999999999945,6.468333333333324,6.468333333333324
123,MDL-MSC094544(B),1.0,6.92,0.83,3.19,3.59,-0.6899999999999995,-0.6899999999999995,-0.6899999999999995
124,MDL-MSC094544(X3),100.0,2238.4399999999964,335.5900000000003,503.21999999999946,1076.9999999999989,322.62999999999784,3.2262999999999784,3.2262999999999784
125,MDL-MSC094604,103.0,962.09,86.52999999999992,237.03000000000017,525.3000000000005,113.22999999999945,1.0993203883495093,1.0993203883495093
126,MDL-MSC094604H(X3),31.0,820.5699999999995,123.02000000000004,169.7,474.30000000000024,53.54999999999927,1.7274193548386862,1.7274193548386862
127,MDL-MSC094853UNSC,36.0,311.80000000000007,37.489999999999995,70.74999999999994,125.63999999999996,77.92000000000019,2.1644444444444497,2.1644444444444497
128,MDL-NON80328,3654.0,36097.31000000022,4342.67999999988,15360.600000001103,12533.22000000056,3860.8099999986807,1.0565982484944392,1.0565982484944392
129,MOL-1434,214.0,3927.699999999999,589.4000000000011,1029.9799999999987,1645.6600000000074,662.6599999999917,3.0965420560747274,3.0965420560747274
130,MOL-1434(B),168.0,3410.359999999994,409.2800000000004,841.4299999999989,1291.9200000000048,867.72999999999,5.1650595238094645,5.1650595238094645
131,MOL-1437(A),282.0,4941.349999999987,649.6300000000015,1452.529999999998,1974.0,865.1899999999873,3.068049645390026,3.068049645390026
132,MOL-1437-1,121.0,2562.3600000000015,384.5900000000003,632.1899999999997,847.0,698.5800000000015,5.773388429752079,5.773388429752079
133,MOL-1438,2.0,40.17,4.82,9.52,18.46,7.3700000000000045,3.6850000000000023,3.6850000000000023
134,MOL-1438(B),32.0,644.5100000000002,77.32000000000001,168.32999999999996,295.36,103.50000000000023,3.234375000000007,3.234375000000007
135,MOL-1439,32.0,682.8100000000001,81.93000000000002,164.89000000000001,385.6000000000002,50.38999999999976,1.5746874999999925,1.5746874999999925
136,MOL-1443,102.0,1586.1899999999998,190.29000000000028,534.0999999999995,989.4000000000015,-127.6000000000015,-1.2509803921568774,-1.2509803921568774
137,MOL-1443-1,133.0,2589.25,310.8499999999997,721.7199999999997,1290.100000000003,266.57999999999765,2.0043609022556215,2.0043609022556215
138,MOL-1448,27.0,537.2399999999999,64.48,146.59000000000003,325.35000000000014,0.819999999999709,0.03037037037035959,0.03037037037035959
139,MOL-1451,97.0,2013.7700000000002,241.65000000000018,497.3299999999994,1056.3299999999992,218.4600000000014,2.252164948453623,2.252164948453623
140,MOL-281000,766.0,10293.950000000037,1537.560000000014,2090.1699999999996,5109.22000000003,1556.9999999999927,2.0326370757180063,2.0326370757180063
141,MOL-281100,5.0,70.37,8.44,11.620000000000001,35.75,14.560000000000002,2.9120000000000004,2.9120000000000004
142,MOL-281100(B),2.0,22.740000000000002,2.7300000000000004,6.38,14.3,-0.6699999999999982,-0.3349999999999991,-0.3349999999999991
143,MOL-281200-1,113.0,1567.1200000000001,235.23000000000002,355.43999999999966,807.9499999999991,168.50000000000136,1.491150442477888,1.491150442477888
144,MOL-281300,59.0,1239.3400000000001,185.91000000000003,203.81999999999994,526.8700000000001,322.74,5.470169491525424,5.470169491525424
145,MOL-295200,305.0,3965.0,594.7499999999999,514.9099999999995,2177.700000000002,677.6399999999985,2.221770491803274,2.221770491803274
146,MOL-295300,254.0,4583.060000000001,686.2600000000006,665.07,2621.2800000000043,610.4499999999962,2.403346456692898,2.403346456692898
147,MOL-295400,200.0,5573.99,836.1799999999998,655.5600000000019,3273.99999999999,808.2500000000082,4.041250000000041,4.041250000000041
148,MOL-295600,104.0,4326.9400000000005,648.8100000000005,366.32999999999913,3022.2399999999966,289.56000000000404,2.784230769230808,2.784230769230808
149,MOL-670900(B),3.0,81.0,12.16,9.84,18.03,40.97,13.656666666666666,13.656666666666666
150,OMR-HEM-90XL,5.0,3468.0,520.2,30.099999999999998,1875.0,1042.6999999999998,208.53999999999996,208.53999999999996
151,PRK-12-02(A),1001.0,3998.1000000000267,364.6299999999985,1847.9400000000414,1061.0599999999756,724.4700000000112,0.7237462537462649,0.7237462537462649
152,PRK-12-02(X2),365.0,1994.6600000000008,160.31000000000057,860.9300000000063,773.8000000000014,199.61999999999261,0.5469041095890209,0.5469041095890209
153,S&N-66000040,30.0,428.7399999999999,64.37000000000002,69.29999999999995,240.9,54.16999999999996,1.8056666666666652,1.8056666666666652
154,S&N-66000041,150.0,3075.1900000000014,461.2999999999999,536.8199999999988,0.0,2077.0700000000024,13.84713333333335,13.84713333333335
155,S&N-66000317,40.0,326.62,26.090000000000007,68.99999999999997,98.39999999999998,133.13000000000005,3.3282500000000015,3.3282500000000015
156,S&N-66000318,31.0,369.8300000000001,55.48999999999999,55.28999999999997,99.20000000000003,159.8500000000001,5.156451612903229,5.156451612903229
157,S&N-66000319,19.0,331.48,49.73,63.38000000000001,88.73000000000002,129.64,6.823157894736841,6.823157894736841
158,S&N-66250706,38.0,772.2900000000001,115.86,97.77999999999999,493.6200000000001,65.02999999999997,1.7113157894736835,1.7113157894736835
159,S&N-66250706(B),25.0,498.8,74.83000000000001,60.24999999999997,324.7500000000001,38.969999999999914,1.5587999999999966,1.5587999999999966
160,S&N-66800269,68.0,1413.21,169.59999999999994,238.9699999999999,722.1600000000002,282.48,4.154117647058824,4.154117647058824
161,S&N-66800270,60.0,1881.3100000000004,282.28999999999996,198.52999999999992,811.7999999999989,588.6900000000016,9.811500000000027,9.811500000000027
162,S&N-66800272,19.0,650.24,97.52,62.14,374.48999999999995,116.09000000000003,6.110000000000002,6.110000000000002
163,S&N-66801068,48.0,1698.4499999999998,254.71999999999994,175.13000000000005,1141.4399999999994,127.16000000000031,2.649166666666673,2.649166666666673
164,SOT-132126,1.0,36.75,5.51,3.19,21.37,6.68,6.68,6.68
165,SOT-140172,1.0,37.73,5.66,3.19,23.41,5.469999999999999,5.469999999999999,5.469999999999999
166,SOT-140174,40.0,1798.8000000000004,270.0,139.54999999999995,936.3999999999997,452.8500000000006,11.321250000000015,11.321250000000015
167,SOT-140176,152.0,5145.069999999995,771.45,580.6600000000007,3558.3199999999943,234.64000000000033,1.543684210526318,1.543684210526318
168,SOT-154131,10.0,190.0,28.500000000000007,31.900000000000006,112.00000000000001,17.599999999999966,1.7599999999999967,1.7599999999999967
169,SOT-160172,183.0,3228.699999999995,484.57000000000085,583.2800000000007,1405.44,755.409999999993,4.127923497267721,4.127923497267721
170,SOT-160214,122.0,3458.6800000000017,518.9099999999993,409.8599999999998,2421.6999999999953,108.21000000000731,0.8869672131148141,0.8869672131148141
171,SOT-166130,58.0,5032.219999999996,754.7999999999996,214.96999999999997,2951.619999999999,1110.8299999999972,19.152241379310297,19.152241379310297
172,TOR-MS407W,75.0,1033.689999999999,155.36000000000004,295.3000000000001,421.5000000000002,161.5299999999985,2.1537333333333133,2.1537333333333133
173,TOR-MS407W(B),4971.0,55939.53999999575,8401.4000000001,12047.050000000141,27937.01999999921,7554.0699999963035,1.5196278414798439,1.5196278414798439
174,TOR-MS407W(C),104.0,1222.6799999999998,183.60999999999987,234.61999999999972,584.4800000000004,219.9699999999999,2.115096153846153,2.115096153846153
175,TOR-MS407W(X3),103.0,3497.880000000003,524.2699999999992,519.4299999999994,1736.5799999999977,717.6000000000067,6.966990291262201,6.966990291262201
176,TOR-MS408W,740.0,8421.200000000048,1265.4000000000112,1744.0199999999895,4158.799999999946,1252.9800000001014,1.6932162162163533,1.6932162162163533
177,VEC-2410008,3.0,59.699999999999996,8.97,9.57,0.0,41.16,13.719999999999999,13.719999999999999
178,WEL-01690-410,16.0,3741.3900000000003,561.1999999999999,90.60000000000002,1893.4399999999996,1196.1500000000005,74.75937500000003,74.75937500000003
179,WEL-06000-800,701.0,8193.320000000023,984.7000000000007,1582.6800000000026,4626.600000000002,999.3400000000183,1.4255920114122944,1.4255920114122944
180,WEL-06190-200,1.0,239.58,28.75,5.47,118.34,87.02000000000001,87.02000000000001,87.02000000000001
181,WEL-24400U,497.0,3526.650000000015,425.4400000000003,900.390000000007,1635.129999999991,565.6900000000169,1.1382092555332333,1.1382092555332333
182,WEL-5079135,7.0,578.76,69.46,33.21999999999999,0.0,476.08000000000004,68.01142857142858,68.01142857142858
183,WEL-52432-U,303.0,10853.099999999975,1620.8899999999967,1437.5299999999986,5908.5,1886.1799999999803,6.2250165016501,6.2250165016501
184,WEL-52432-U(34 PACK),74.0,681.5400000000003,102.11999999999992,114.77999999999993,0.0,464.64000000000044,6.278918918918925,6.278918918918925
185,WEL-52432-U(X25),59.0,1978.1700000000012,296.87,201.50000000000006,1150.5,329.3000000000011,5.581355932203408,5.581355932203408
